Ref_Date,GEO,COMMOD,Vector,Coordinate,Value
Dec-84,Canada,Meat products,v1574570,1.2,75.9
Jan-85,Canada,Meat products,v1574570,1.2,75.3
Feb-85,Canada,Meat products,v1574570,1.2,76
Mar-85,Canada,Meat products,v1574570,1.2,76
Apr-85,Canada,Meat products,v1574570,1.2,73.6
May-85,Canada,Meat products,v1574570,1.2,74
Jun-85,Canada,Meat products,v1574570,1.2,74.7
Jul-85,Canada,Meat products,v1574570,1.2,75.4
Aug-85,Canada,Meat products,v1574570,1.2,73.6
Sep-85,Canada,Meat products,v1574570,1.2,72.7
Oct-85,Canada,Meat products,v1574570,1.2,73.8
Nov-85,Canada,Meat products,v1574570,1.2,75.5
Dec-85,Canada,Meat products,v1574570,1.2,76.8
Jan-86,Canada,Meat products,v1574570,1.2,75.5
Feb-86,Canada,Meat products,v1574570,1.2,73.4
Mar-86,Canada,Meat products,v1574570,1.2,73.2
Apr-86,Canada,Meat products,v1574570,1.2,73.1
May-86,Canada,Meat products,v1574570,1.2,73.4
Jun-86,Canada,Meat products,v1574570,1.2,76.2
Jul-86,Canada,Meat products,v1574570,1.2,79.8
Aug-86,Canada,Meat products,v1574570,1.2,82.8
Sep-86,Canada,Meat products,v1574570,1.2,83.3
Oct-86,Canada,Meat products,v1574570,1.2,82.3
Nov-86,Canada,Meat products,v1574570,1.2,82.8
Dec-86,Canada,Meat products,v1574570,1.2,81.9
Jan-87,Canada,Meat products,v1574570,1.2,79.8
Feb-87,Canada,Meat products,v1574570,1.2,78.1
Mar-87,Canada,Meat products,v1574570,1.2,78.3
Apr-87,Canada,Meat products,v1574570,1.2,78.8
May-87,Canada,Meat products,v1574570,1.2,81.9
Jun-87,Canada,Meat products,v1574570,1.2,82.8
Jul-87,Canada,Meat products,v1574570,1.2,83.1
Aug-87,Canada,Meat products,v1574570,1.2,82.9
Sep-87,Canada,Meat products,v1574570,1.2,83.1
Oct-87,Canada,Meat products,v1574570,1.2,81.4
Nov-87,Canada,Meat products,v1574570,1.2,80
Dec-87,Canada,Meat products,v1574570,1.2,79.5
Jan-88,Canada,Meat products,v1574570,1.2,78.9
Feb-88,Canada,Meat products,v1574570,1.2,79.2
Mar-88,Canada,Meat products,v1574570,1.2,78.8
Apr-88,Canada,Meat products,v1574570,1.2,79.4
May-88,Canada,Meat products,v1574570,1.2,79.9
